exp,approach,model,accuracy,precision,recall,f1,roc_auc,notes
5,Classical ML,"HistGradientBoostingClassifier (RandomizedSearchCV, deeper search)",0.7901986852795627,0.8952224905139703,0.6991984912776992,0.7851605339787467,0.9017454007217884,"Best params: {'min_samples_leaf': 10, 'max_leaf_nodes': 127, 'max_iter': 400, 'max_depth': 20, 'learning_rate': 0.05, 'l2_regularization': 0.0} (n_iter=24, cv=3 over a 6-hyperparameter grid)"
4,Classical ML,Random Forest (RandomizedSearchCV),0.7541177339537632,0.8858731505041938,0.6331245369434902,0.738471207478985,0.8673882149969588,"Best params: {'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 30}"
8,Deep Learning,"Sequential MLP v3 (Adam (bs=128), EarlyStopping+ReduceLROnPlateau)",0.7349139522859887,0.88798947687949,0.5910958442783054,0.7097452486858067,0.8090001954198213,"Compared Adam(bs=128) vs RMSprop(bs=512), both with EarlyStopping(patience=5)+ReduceLROnPlateau; best=Adam (bs=128)"
6,Deep Learning,"Sequential MLP v1 (64-32, Adam lr=1e-3)",0.7157471009675751,0.7650504151838672,0.6950225634808379,0.7283571554614434,0.8089942811163278,"2 hidden layers (64/32), ReLU, Adam lr=1e-3, 20 epochs"
9,Deep Learning,"Functional Wide & Deep v1 (embed_dim=8, 64-32 deep head)",0.7235763350321294,0.7930732484076433,0.6709099481376709,0.7268945889736199,0.8076677039440865,"Wide=linear on 127-col one-hot input; Deep=per-categorical embeddings (dim=8) + 20 numeric -> 64-32 head; logits summed; Adam lr=1e-3, 20 epochs"
7,Deep Learning,"Sequential MLP v2 (128-64-32, BatchNorm+Dropout, Adam lr=5e-4)",0.7345815791417387,0.8913754342938892,0.5875260995487304,0.7082369179555881,0.8075335858234299,"Deeper/wider (128/64/32) + BatchNorm + Dropout(0.3), Adam lr=5e-4, 25 epochs"
3,Classical ML,"Decision Tree (max_depth=10, pruned)",0.7352832557795996,0.8911869587366276,0.5891425877281605,0.7093504176465818,0.8030794820107621,Unconstrained: train=1.000/val=0.820 (overfits); pruned: train=0.736/val=0.735
10,Deep Learning,Functional Wide & Deep v2 (tuned embeddings + L2/dropout),0.7353201861289608,0.8922369765066395,0.5883343436384455,0.7090960750091326,0.7985610422505012,"Per-column embedding dims={'Type': 2, 'Category Name': 16, 'Customer Segment': 2, 'Department Name': 6, 'Market': 3, 'Order Region': 12, 'Order Status': 5, 'Shipping Mode': 2}, L2=0.0001 on embeddings+dense, Dropout(0.3), EarlyStopping(patience=5)"
1,Classical ML,"Logistic Regression (baseline, C=1.0)",0.7204003249870744,0.8771511507360564,0.5698794369232841,0.6908912750581799,0.7747359920176067,"Default C=1.0, no class weighting"
2,Classical ML,"Logistic Regression (tuned C, class_weight=balanced)",0.7144545387399365,0.8810926620246384,0.553983969825554,0.6802580431726077,0.7745311775950414,"GridSearchCV best C=0.01, class_weight=balanced"
